T;phi_S;a_S
178;0.098;0.301
178;0.119;0.345
178;0.063;0.199
178;0.077;0.255
178;0.038;0.125
140;0.007;0.029
140;0.018;0.065
140;0.024;0.103
140;0.032;0.122
140;0.036;0.164
140;0.109;0.363
130;0.816;0.988
130;0.662;0.967
130;0.591;0.943
130;0.561;0.932
130;0.476;0.883
130;0.392;0.808
130;0.368;0.802
130;0.297;0.714
130;0.245;0.629
130;0.189;0.511
130;0.149;0.494
130;0.098;0.357
130;0.066;0.259
130;0.034;0.156
130;0.007;0.041
115.5;0.018;0.084
115.5;0.050;0.183
115.5;0.093;0.317
115.5;0.167;0.508
